order_id,customer_id,risk_probability,action_taken,explanation,decision_threshold_used,model_version,timestamp
a78fa342-513d-416e-aa3f-183912adf800,676c4a16-07aa-45fa-8ad1-17b29a2b6de4,0.4063,flag_for_review,"Elevated risk driven by: size-dependent item, large discount, tier3 delivery area",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
386793fc-d277-4d26-ade3-618038aa42c0,7f892973-babf-4935-bab7-187b59d8b023,0.2694,flag_for_review,"Elevated risk driven by: COD payment, home category, unusually low order value",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
b03d672c-0dcf-4385-a8eb-1b46a4bccc0d,30ed7aa6-3495-4b99-970b-27c038e98f99,0.0295,auto_approve,Elevated risk driven by: home category,0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
e794db98-fa9f-46f8-a608-ed980f8c875d,3bf94f31-a69a-4672-af18-93b6ddcad665,0.6237,flag_for_review,"Elevated risk driven by: customer's return history, size-dependent item, large discount",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
5d5f3c4e-5d7f-4726-a2a8-4cc58df07e6d,e0be4c42-c5d2-46e6-98a3-f57143c81929,0.202,flag_for_review,"Elevated risk driven by: size-dependent item, fashion category",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
0bc688a5-0c50-4b94-8fee-1288f95871b7,4c3650cb-e088-4c11-a624-1102a42ebe08,0.1782,flag_for_review,"Elevated risk driven by: COD payment, home category, unusually low order value",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
7e432b86-4760-4742-9398-2ae0a66456dd,d684615e-b5d2-4dff-856f-f7aa94f57139,0.1476,auto_approve,"Elevated risk driven by: COD payment, large discount, customer's return history",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
e2f65b0a-74c3-4151-ac55-9762760d8ac1,b732b9b1-5184-4f45-af4d-630b007d8b56,0.2873,flag_for_review,"Elevated risk driven by: customer's return history, COD payment, home category",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
31c9fe7f-7f48-4d75-b24e-c7f5e4ef9e0b,88b88e03-c936-4c7f-ba2d-52cf64525090,0.0734,auto_approve,Elevated risk driven by: unusually low order value,0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
137c5da6-4ddb-44a4-b5c5-6d16a77b1c0d,fd6cccad-5f4f-45ca-8142-59059b87515b,0.2424,flag_for_review,"Elevated risk driven by: size-dependent item, unusually low order value, fashion category",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
7579cd0d-0116-4c57-88c8-a88400a764b8,97d7ac82-2b8f-4c9e-87c2-0b7f4459006c,0.0308,auto_approve,Elevated risk driven by: home category,0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
91f47c8b-138c-4ccb-a33a-de57f3cef844,4ab3cbf1-5914-4c42-b2e7-1238debcf239,0.2416,flag_for_review,"Elevated risk driven by: COD payment, tier3 delivery area, unusually low order value",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
5e0a987f-c255-4c62-be26-445228ea5730,0fc1c1ab-b781-4d50-9d85-9900bab12268,0.3417,flag_for_review,"Elevated risk driven by: size-dependent item, COD payment, fashion category",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
d8759fdc-3599-4059-9c04-9368f15dab69,3ae5d8e2-1cd9-49fe-a877-331f08d4c8e0,0.0396,auto_approve,"Elevated risk driven by: no prior return history available, first-time buyer, beauty category",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
a9e78df7-089a-48b5-b626-64dbb10ad942,b48b45a4-753f-4ba5-b83c-ddf1c5e444e1,0.2177,flag_for_review,"Elevated risk driven by: COD payment, large discount, customer's return history",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
6cb44f3f-43c7-4691-8a72-7d0d0dd53a90,412fdcc8-a20c-4ee8-986c-d10d8bf4a971,0.6747,flag_for_review,"Elevated risk driven by: customer's return history, size-dependent item, COD payment",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
e1e19fa1-b515-4741-aaf0-af220f6a789f,c098bafa-20a7-4c6c-9fce-d433c8e83be7,0.0379,auto_approve,"Elevated risk driven by: unusually low order value, customer's return history, large discount",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
d1e11b8a-ec97-4b1a-874b-bc02ff14358e,f511f812-b332-434e-84ac-a8d69f0d2875,0.0388,auto_approve,Elevated risk driven by: beauty category,0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
9a4644c4-dde2-4828-b49b-03d3b351156e,b6352c97-2241-47d4-89b2-77d21afae1a8,0.0578,auto_approve,"Elevated risk driven by: COD payment, large discount, unusually low order value",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
111bdb21-2db4-41f1-bf85-429892fb3cbe,62c57df5-411a-4722-a64d-b9f882580279,0.338,flag_for_review,"Elevated risk driven by: size-dependent item, COD payment, fashion category",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
2d1b958f-1e76-4ab4-b406-e01d9c477641,82715f5b-0eb8-4809-b878-05fd95a15158,0.3593,flag_for_review,"Elevated risk driven by: size-dependent item, COD payment, unusually low order value",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
42fb473d-ce4d-46b7-a42b-5dc752621130,82715f5b-0eb8-4809-b878-05fd95a15158,0.085,auto_approve,"Elevated risk driven by: home category, unusually low order value",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
178b132e-0cb2-4471-a040-f76ca41d2c7d,b66a45c1-7406-4950-a677-2ee579e724f2,0.19,flag_for_review,"Elevated risk driven by: size-dependent item, unusually low order value, fashion category",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
d27e85fd-d890-4847-b9c8-0f43efe693a3,eaeed0dd-7e1c-4258-9fdd-9985ad3d359d,0.3958,flag_for_review,"Elevated risk driven by: size-dependent item, large discount, customer's return history",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
82380201-25d1-466d-a38d-85f7b0927e93,f91b87e4-35a7-481d-96ba-a679feba54f3,0.1721,flag_for_review,"Elevated risk driven by: COD payment, large discount, unusually low order value",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
75af28a3-9261-4af3-9f4d-76dd18b9525b,1af574e3-1cf2-4f6f-9cae-ab5630dd0840,0.2605,flag_for_review,"Elevated risk driven by: large discount, unusually low order value, fashion category",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
805828e5-2ec4-4b41-8e68-cc68accbb602,fd6cccad-5f4f-45ca-8142-59059b87515b,0.2705,flag_for_review,"Elevated risk driven by: size-dependent item, fashion category, large discount",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
d9d7768f-e354-48d3-92c7-1796ba2b4c35,ac46d877-8423-49a6-902f-7054e0aa8316,0.0518,auto_approve,"Elevated risk driven by: large discount, tier3 delivery area, unusually low order value",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
293b2df0-0fb0-4eea-9446-0b8d6c5d0ab7,aa146080-a61b-4d65-8941-28a1786e2342,0.1533,auto_approve,"Elevated risk driven by: customer's return history, home category, unusually low order value",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
38fff983-9103-4a0a-8c53-e51aeee287d0,6b41fb6b-2b44-478a-8bb4-1a35d8471ae4,0.1371,auto_approve,"Elevated risk driven by: tier3 delivery area, beauty category, unusually low order value",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
6fa8997c-e482-4768-a39b-d0dd4ade20bc,9e9db8b8-b527-46e0-9e4b-211ffcef38a3,0.2608,flag_for_review,"Elevated risk driven by: size-dependent item, fashion category, unusually low order value",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
f64bfcf6-89c2-4300-8d39-25aaea20725a,2e47b7ee-0809-4ae4-8dd5-f4c88b6fe2c2,0.054,auto_approve,"Elevated risk driven by: customer's return history, unusually low order value",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
7e015fcf-cb7b-45fc-9b3c-f8fc25db2099,488818a4-8adb-4718-b41a-823c7f2b2ab8,0.3248,flag_for_review,"Elevated risk driven by: size-dependent item, COD payment, unusually low order value",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
78a5c098-51b4-405e-b961-393315d485b6,b2260d18-fffa-4383-9ce1-cdafe986cab2,0.0759,auto_approve,"Elevated risk driven by: customer's return history, unusually low order value, customer's order count",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
cce33828-becf-4973-874a-69e4d7c66157,244f6df6-0877-4426-b15f-8812d0053625,0.0286,auto_approve,"Elevated risk driven by: customer's return history, unusually low order value",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
89d28b2a-6247-497d-986b-32f7f58c43ef,0b3125cc-29c6-4f20-b1ef-8890454bd85d,0.2307,flag_for_review,"Elevated risk driven by: size-dependent item, unusually low order value, fashion category",0.16,logreg_v1_step2,2026-08-23T06:30:21.573233+00:00
