order_value,discount_pct,is_first_time_buyer,customer_past_orders,customer_past_return_rate,size_variant_flag,days_to_deliver,returned,has_return_history,category_beauty,category_electronics,category_fashion,category_grocery,category_home,payment_method_COD,payment_method_UPI,payment_method_card,payment_method_netbanking,delivery_pincode_tier_metro,delivery_pincode_tier_tier2,delivery_pincode_tier_tier3,time_of_day_ordered_afternoon,time_of_day_ordered_evening,time_of_day_ordered_morning,time_of_day_ordered_night
660.17,0.457,1,0,0.24995735361917937,1,5,1,0,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False
250.0,0.442,1,0,0.24995735361917937,1,4,1,0,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
3815.33,0.251,1,0,0.24995735361917937,1,5,0,0,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
1167.26,0.106,1,0,0.24995735361917937,0,6,0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False
1429.91,0.281,1,0,0.24995735361917937,1,2,1,0,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False
250.0,0.463,1,0,0.24995735361917937,1,2,0,0,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False
488.28,0.274,1,0,0.24995735361917937,0,2,0,0,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False
250.0,0.045,1,0,0.24995735361917937,0,7,0,0,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False
1294.33,0.607,1,0,0.24995735361917937,0,2,0,0,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False
2385.45,0.154,1,0,0.24995735361917937,0,2,1,0,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False
13706.38,0.357,1,0,0.24995735361917937,0,4,0,0,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False
1324.98,0.082,1,0,0.24995735361917937,0,2,1,0,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False
922.04,0.416,0,1,0.119,0,2,0,1,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False
4892.5,0.29,1,0,0.24995735361917937,1,7,0,0,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False
1433.27,0.312,1,0,0.24995735361917937,1,5,1,0,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False
3033.87,0.363,1,0,0.24995735361917937,1,3,0,0,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False
20000.0,0.143,1,0,0.24995735361917937,0,3,0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False
250.0,0.37,1,0,0.24995735361917937,0,3,0,0,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True
10953.53,0.145,1,0,0.24995735361917937,0,5,0,0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
