t1,t2,n_approved,n_flagged,n_held,fn_cost,flag_cost,hold_cost,total_cost
0.16,0.2,488,94,418,7685.2,3760,60688.04,72133.24
0.16,0.22,488,143,369,7685.2,5720,53663.36,67068.56
0.16,0.24,488,184,328,7685.2,7360,47458.26,62503.46
0.16,0.26,488,227,285,7685.2,9080,41103.29,57868.49
0.16,0.28,488,267,245,7685.2,10680,35060.46,53425.66
0.16,0.3,488,296,216,7685.2,11840,30219.28,49744.48
0.16,0.32,488,324,188,7685.2,12960,26303.62,46948.82
0.16,0.34,488,354,158,7685.2,14160,21809.57,43654.77
0.16,0.36,488,375,137,7685.2,15000,18890.07,41575.27
0.16,0.38,488,401,111,7685.2,16040,15403.88,39129.08
0.16,0.4,488,415,97,7685.2,16600,13561.37,37846.57
0.16,0.42,488,428,84,7685.2,17120,11641.99,36447.19
0.16,0.44,488,436,76,7685.2,17440,10218.97,35344.17
0.16,0.46,488,446,66,7685.2,17840,8853.97,34379.17
0.16,0.48,488,454,58,7685.2,18160,7828.36,33673.56
0.16,0.5,488,460,52,7685.2,18400,7114.05,33199.25
0.16,0.52,488,466,46,7685.2,18640,6309.99,32635.19
0.16,0.54,488,477,35,7685.2,19080,4612.32,31377.52
0.16,0.56,488,483,29,7685.2,19320,3789.4,30794.6
0.16,0.58,488,488,24,7685.2,19520,3244.15,30449.35
0.16,0.6,488,489,23,7685.2,19560,3151.65,30396.85
0.16,0.62,488,491,21,7685.2,19640,2704.71,30029.91
0.16,0.64,488,494,18,7685.2,19760,2280.36,29725.56
0.16,0.66,488,497,15,7685.2,19880,1935.32,29500.52
0.16,0.68,488,501,11,7685.2,20040,1397.05,29122.25
0.16,0.7,488,503,9,7685.2,20120,1121.26,28926.45
0.16,0.72,488,507,5,7685.2,20280,636.25,28601.45
0.16,0.74,488,509,3,7685.2,20360,329.81,28375.01
0.16,0.76,488,510,2,7685.2,20400,200.54,28285.74
0.16,0.78,488,510,2,7685.2,20400,200.54,28285.74
0.16,0.8,488,510,2,7685.2,20400,200.54,28285.74
0.16,0.82,488,510,2,7685.2,20400,200.54,28285.74
0.16,0.84,488,512,0,7685.2,20480,0.0,28165.2
0.16,0.86,488,512,0,7685.2,20480,0.0,28165.2
0.16,0.88,488,512,0,7685.2,20480,0.0,28165.2
