threshold,n_flagged,false_positives,false_negatives,fp_cost,fn_cost,total_cost
0.05,869,672,3,26880,786.49,27666.49
0.06,823,628,5,25120,1228.84,26348.84
0.07,786,593,7,23720,1666.23,25386.23
0.08,751,561,10,22440,2317.26,24757.26
0.09,722,535,13,21400,3036.04,24436.04
0.1,678,495,17,19800,3989.16,23789.16
0.11,645,464,19,18560,4468.81,23028.81
0.12,619,442,23,17680,5379.48,23059.48
0.13,588,412,24,16480,5592.42,22072.42
0.14,563,391,28,15640,6512.38,22152.38
0.15,538,368,30,14720,6981.68,21701.68
0.16,512,345,33,13800,7685.2,21485.2
0.17,488,325,37,13000,8593.68,21593.68
0.18,458,301,43,12040,9981.06,22021.06
0.19,441,289,48,11560,11043.41,22603.41
0.2,418,270,52,10800,12082.11,22882.11
0.21,391,246,55,9840,12761.85,22601.85
0.22,369,230,61,9200,14028.04,23228.04
0.23,348,217,69,8680,15863.32,24543.32
0.24,328,201,73,8040,16703.31,24743.31
0.25,312,189,77,7560,17539.21,25099.21
0.26,285,166,81,6640,18464.41,25104.41
0.27,265,151,86,6040,19607.77,25647.77
0.28,245,135,90,5400,20517.35,25917.35
0.29,230,124,94,4960,21463.53,26423.53
0.3,216,115,99,4600,22784.27,27384.27
0.31,203,110,107,4400,24554.44,28954.44
0.32,188,104,116,4160,26533.23,30693.23
0.33,176,96,120,3840,27489.38,31329.38
0.34,158,85,127,3400,29055.09,32455.09
0.35,146,79,133,3160,30448.23,33608.23
0.36,137,73,136,2920,31105.6,34025.6
0.37,122,63,141,2520,32176.47,34696.47
0.38,111,58,147,2320,33461.96,35781.96
0.39,106,55,149,2200,33950.51,36150.51
0.4,97,49,152,1960,34604.43,36564.43
0.41,88,43,155,1720,35325.92,37045.92
0.42,84,40,156,1600,35535.61,37135.61
0.43,80,38,158,1520,36125.57,37645.57
0.44,76,35,159,1400,36335.89,37735.89
0.45,71,31,160,1240,36543.38,37783.38
0.46,66,30,164,1200,37426.71,38626.71
0.47,62,28,166,1120,37867.92,38987.92
0.48,58,25,167,1000,38080.15,39080.15
0.49,57,24,167,960,38080.15,39040.15
0.5,52,19,167,760,38080.15,38840.15
0.51,49,17,168,680,38322.86,39002.86
0.52,46,16,170,640,38770.15,39410.15
0.53,41,15,174,600,39684.61,40284.61
0.54,35,11,176,440,40101.93,40541.93
0.55,34,11,177,440,40364.67,40804.67
0.56,29,8,179,320,40784.31,41104.31
0.57,27,6,179,240,40784.31,41024.31
0.58,24,5,181,200,41195.86,41395.86
0.59,24,5,181,200,41195.86,41395.86
0.6,23,4,181,160,41195.86,41355.86
0.61,22,4,182,160,41474.32,41634.32
0.62,21,4,183,160,41710.64,41870.64
0.63,20,3,183,120,41710.64,41830.64
0.64,18,2,184,80,41926.93,42006.93
0.65,18,2,184,80,41926.93,42006.93
0.66,15,2,187,80,42568.95,42648.95
0.67,13,1,188,40,42807.34,42847.34
0.68,11,0,189,0,43033.43,43033.43
0.69,11,0,189,0,43033.43,43033.43
0.7,9,0,191,0,43479.75,43479.75
0.71,7,0,193,0,43906.38,43906.38
0.72,5,0,195,0,44345.75,44345.75
0.73,4,0,196,0,44567.61,44567.61
0.74,3,0,197,0,44804.33,44804.33
0.75,3,0,197,0,44804.33,44804.33
0.76,2,0,198,0,45024.04,45024.04
0.77,2,0,198,0,45024.04,45024.04
0.78,2,0,198,0,45024.04,45024.04
0.79,2,0,198,0,45024.04,45024.04
0.8,2,0,198,0,45024.04,45024.04
0.81,2,0,198,0,45024.04,45024.04
0.82,2,0,198,0,45024.04,45024.04
0.83,2,0,198,0,45024.04,45024.04
0.84,0,0,200,0,45440.25,45440.25
0.85,0,0,200,0,45440.25,45440.25
0.86,0,0,200,0,45440.25,45440.25
0.87,0,0,200,0,45440.25,45440.25
0.88,0,0,200,0,45440.25,45440.25
0.89,0,0,200,0,45440.25,45440.25
0.9,0,0,200,0,45440.25,45440.25
0.91,0,0,200,0,45440.25,45440.25
0.92,0,0,200,0,45440.25,45440.25
0.93,0,0,200,0,45440.25,45440.25
0.94,0,0,200,0,45440.25,45440.25
